job_id,state,district,domain,nsqf_job_role,qp_code,job_type_available,local_demand_signal,active_msme_cluster,estimated_monthly_income_lpa
JOB_6E240A9F,Uttar Pradesh,Sitapur,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Fixed Monthly,Medium,True,17.0
JOB_9A9F8682,Uttar Pradesh,Sitapur,Agriculture & Dairy,Dairy Farmer & Animal Husbandry Assistant,AGR/Q4101,Fixed Monthly,High,True,10.2
JOB_F8FCC894,Uttar Pradesh,Sitapur,Handicrafts & Leather,Leather Goods Maker / Footwear Repairer,LSS/Q2501,Daily Wage,Medium,False,21.2
JOB_0638CCDB,Uttar Pradesh,Sitapur,Handicrafts & Leather,Leather Goods Maker / Footwear Repairer,LSS/Q2501,Daily Wage,Medium,False,17.7
JOB_BD50413B,Uttar Pradesh,Sitapur,Construction,Assistant Mason,CON/Q0101,Fixed Monthly,Medium,True,15.3
JOB_FB0CEF27,Uttar Pradesh,Sitapur,Plumbing & Water Works,Plumber General,PSC/Q0104,Daily Wage,Medium,True,22.8
JOB_2E4869A2,Uttar Pradesh,Sitapur,Artisan & Carpentry,Assistant Carpenter,CON/Q0102,Fixed Monthly,Medium,False,13.7
JOB_B00FBFFE,Uttar Pradesh,Sitapur,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Fixed Monthly,Low,True,8.7
JOB_20F0CF6F,Uttar Pradesh,Sitapur,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Daily Wage,Medium,False,15.7
JOB_112FA7B4,Uttar Pradesh,Sitapur,Plumbing & Water Works,Plumber General,PSC/Q0104,Fixed Monthly,High,False,15.0
JOB_AF5FE12C,Uttar Pradesh,Sitapur,Agriculture & Dairy,Dairy Farmer & Animal Husbandry Assistant,AGR/Q4101,Self-Employment / Enterprise,High,True,17.4
JOB_44A4D109,Uttar Pradesh,Sitapur,Electrical & Solar,Wireman Helper,ELE/Q6001,Self-Employment / Enterprise,Low,True,11.9
JOB_F6F95C79,Uttar Pradesh,Sitapur,Construction,Assistant Mason,CON/Q0101,Daily Wage,High,True,15.3
JOB_DC4EA362,Uttar Pradesh,Sitapur,Plumbing & Water Works,Plumber General,PSC/Q0104,Self-Employment / Enterprise,High,False,14.4
JOB_0CD15402,Uttar Pradesh,Sitapur,Handicrafts & Leather,Leather Goods Maker / Footwear Repairer,LSS/Q2501,Daily Wage,Medium,True,21.3
JOB_6ED48D3F,Uttar Pradesh,Sitapur,Agriculture & Dairy,Dairy Farmer & Animal Husbandry Assistant,AGR/Q4101,Fixed Monthly,Medium,True,18.7
JOB_360EB6A2,Uttar Pradesh,Sitapur,Artisan & Carpentry,Assistant Carpenter,CON/Q0102,Self-Employment / Enterprise,Low,False,11.7
JOB_45141262,Uttar Pradesh,Sitapur,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Fixed Monthly,Low,False,15.9
JOB_4AD3E535,Uttar Pradesh,Sitapur,Handicrafts & Leather,Leather Goods Maker / Footwear Repairer,LSS/Q2501,Self-Employment / Enterprise,High,True,24.0
JOB_8815A4D9,Uttar Pradesh,Sitapur,Construction,Assistant Mason,CON/Q0101,Daily Wage,High,False,8.6
JOB_2DF3AC4E,Uttar Pradesh,Sitapur,Artisan & Carpentry,Assistant Carpenter,CON/Q0102,Daily Wage,Medium,True,18.5
JOB_87672FB9,Uttar Pradesh,Sitapur,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Self-Employment / Enterprise,Low,False,20.5
JOB_DCB501C4,Uttar Pradesh,Sitapur,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Daily Wage,High,True,22.2
JOB_32777AF0,Uttar Pradesh,Sitapur,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Fixed Monthly,Low,True,19.1
JOB_A414B979,Uttar Pradesh,Sitapur,Construction,Assistant Mason,CON/Q0101,Fixed Monthly,High,True,8.7
JOB_81495B8F,Uttar Pradesh,Sitapur,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Daily Wage,Medium,False,17.1
JOB_074A10BB,Uttar Pradesh,Sitapur,Construction,Assistant Mason,CON/Q0101,Self-Employment / Enterprise,Low,True,24.9
JOB_A9AF0D81,Uttar Pradesh,Sitapur,Handicrafts & Leather,Leather Goods Maker / Footwear Repairer,LSS/Q2501,Daily Wage,Medium,True,11.3
JOB_A6B6B725,Uttar Pradesh,Sitapur,Agriculture & Dairy,Dairy Farmer & Animal Husbandry Assistant,AGR/Q4101,Fixed Monthly,Low,True,11.5
JOB_ABB9F607,Uttar Pradesh,Sitapur,Agriculture & Dairy,Dairy Farmer & Animal Husbandry Assistant,AGR/Q4101,Daily Wage,High,True,24.4
JOB_460FDEC5,Uttar Pradesh,Sitapur,Agriculture & Dairy,Dairy Farmer & Animal Husbandry Assistant,AGR/Q4101,Fixed Monthly,Medium,True,12.3
JOB_17A1B653,Uttar Pradesh,Sitapur,Electrical & Solar,Wireman Helper,ELE/Q6001,Self-Employment / Enterprise,Medium,False,17.6
JOB_B7299562,Uttar Pradesh,Sitapur,Artisan & Carpentry,Assistant Carpenter,CON/Q0102,Daily Wage,Low,False,24.0
JOB_14289621,Uttar Pradesh,Sitapur,Handicrafts & Leather,Leather Goods Maker / Footwear Repairer,LSS/Q2501,Fixed Monthly,High,True,23.0
JOB_62CEB3F4,Uttar Pradesh,Sitapur,Agriculture & Dairy,Dairy Farmer & Animal Husbandry Assistant,AGR/Q4101,Fixed Monthly,Low,True,23.0
JOB_092878A3,Uttar Pradesh,Sitapur,Electrical & Solar,Wireman Helper,ELE/Q6001,Fixed Monthly,Medium,False,17.8
JOB_B4A4AA5B,Uttar Pradesh,Sitapur,Construction,Assistant Mason,CON/Q0101,Self-Employment / Enterprise,Low,False,19.3
JOB_C8DFDD7A,Uttar Pradesh,Sitapur,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Daily Wage,Low,True,20.1
JOB_6B40F094,Uttar Pradesh,Sitapur,Construction,Assistant Mason,CON/Q0101,Self-Employment / Enterprise,Medium,False,23.0
JOB_C659C670,Uttar Pradesh,Sitapur,Construction,Assistant Mason,CON/Q0101,Self-Employment / Enterprise,High,True,22.8
JOB_07238165,Uttar Pradesh,Sitapur,Artisan & Carpentry,Assistant Carpenter,CON/Q0102,Fixed Monthly,High,True,18.5
JOB_92EE8343,Uttar Pradesh,Sitapur,Electrical & Solar,Wireman Helper,ELE/Q6001,Fixed Monthly,Medium,False,10.0
JOB_758E4CC5,Uttar Pradesh,Sitapur,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Fixed Monthly,High,False,15.8
JOB_2019E9A9,Uttar Pradesh,Hardoi,Artisan & Carpentry,Assistant Carpenter,CON/Q0102,Daily Wage,Low,False,15.9
JOB_7A8A1D53,Uttar Pradesh,Hardoi,Electrical & Solar,Wireman Helper,ELE/Q6001,Fixed Monthly,Medium,True,14.0
JOB_46811F25,Uttar Pradesh,Hardoi,Electrical & Solar,Wireman Helper,ELE/Q6001,Self-Employment / Enterprise,Medium,True,12.7
JOB_E241044E,Uttar Pradesh,Hardoi,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Self-Employment / Enterprise,Low,False,13.9
JOB_09337F16,Uttar Pradesh,Hardoi,Electrical & Solar,Wireman Helper,ELE/Q6001,Self-Employment / Enterprise,Medium,False,23.3
JOB_05AA1C31,Uttar Pradesh,Hardoi,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Fixed Monthly,Medium,False,13.0
JOB_9E80CB6C,Uttar Pradesh,Hardoi,Construction,Assistant Mason,CON/Q0101,Daily Wage,Medium,False,11.9
JOB_42BC50F1,Uttar Pradesh,Hardoi,Construction,Assistant Mason,CON/Q0101,Daily Wage,High,False,16.0
JOB_A109B665,Uttar Pradesh,Hardoi,Agriculture & Dairy,Dairy Farmer & Animal Husbandry Assistant,AGR/Q4101,Fixed Monthly,High,True,11.0
JOB_D2B47DC7,Uttar Pradesh,Hardoi,Plumbing & Water Works,Plumber General,PSC/Q0104,Self-Employment / Enterprise,Medium,True,21.8
JOB_9295254E,Uttar Pradesh,Hardoi,Artisan & Carpentry,Assistant Carpenter,CON/Q0102,Fixed Monthly,Low,True,8.4
JOB_B190EA6F,Uttar Pradesh,Hardoi,Electrical & Solar,Wireman Helper,ELE/Q6001,Self-Employment / Enterprise,Low,True,13.8
JOB_28E4BA0F,Uttar Pradesh,Hardoi,Electrical & Solar,Wireman Helper,ELE/Q6001,Fixed Monthly,Medium,False,10.4
JOB_640C7F05,Uttar Pradesh,Hardoi,Electrical & Solar,Wireman Helper,ELE/Q6001,Fixed Monthly,Medium,False,23.6
JOB_80DCBF3A,Uttar Pradesh,Hardoi,Electrical & Solar,Wireman Helper,ELE/Q6001,Daily Wage,Medium,True,23.6
JOB_A1813398,Uttar Pradesh,Hardoi,Plumbing & Water Works,Plumber General,PSC/Q0104,Self-Employment / Enterprise,High,False,24.1
JOB_27BE5599,Uttar Pradesh,Hardoi,Agriculture & Dairy,Dairy Farmer & Animal Husbandry Assistant,AGR/Q4101,Daily Wage,Medium,False,9.7
JOB_729C93E2,Uttar Pradesh,Hardoi,Agriculture & Dairy,Dairy Farmer & Animal Husbandry Assistant,AGR/Q4101,Fixed Monthly,Medium,False,12.1
JOB_C38B43DE,Uttar Pradesh,Hardoi,Handicrafts & Leather,Leather Goods Maker / Footwear Repairer,LSS/Q2501,Fixed Monthly,Low,False,24.4
JOB_8B1FC0A9,Uttar Pradesh,Hardoi,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Self-Employment / Enterprise,Low,True,24.2
JOB_D830C2E3,Uttar Pradesh,Hardoi,Plumbing & Water Works,Plumber General,PSC/Q0104,Daily Wage,Medium,False,25.0
JOB_7A0BC882,Uttar Pradesh,Hardoi,Electrical & Solar,Wireman Helper,ELE/Q6001,Fixed Monthly,High,False,14.3
JOB_8D3D9452,Uttar Pradesh,Hardoi,Construction,Assistant Mason,CON/Q0101,Self-Employment / Enterprise,Low,False,13.9
JOB_989084D2,Uttar Pradesh,Hardoi,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Fixed Monthly,Medium,False,11.1
JOB_F5746EDB,Uttar Pradesh,Hardoi,Plumbing & Water Works,Plumber General,PSC/Q0104,Self-Employment / Enterprise,High,True,12.0
JOB_336FD125,Uttar Pradesh,Hardoi,Plumbing & Water Works,Plumber General,PSC/Q0104,Self-Employment / Enterprise,High,True,21.5
JOB_56957CC0,Uttar Pradesh,Hardoi,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Fixed Monthly,Medium,True,17.9
JOB_E8C0448F,Uttar Pradesh,Hardoi,Construction,Assistant Mason,CON/Q0101,Fixed Monthly,High,False,22.7
JOB_E65E8014,Uttar Pradesh,Hardoi,Electrical & Solar,Wireman Helper,ELE/Q6001,Fixed Monthly,High,True,19.9
JOB_180ED8A2,Uttar Pradesh,Hardoi,Agriculture & Dairy,Dairy Farmer & Animal Husbandry Assistant,AGR/Q4101,Self-Employment / Enterprise,Medium,True,16.0
JOB_38FADD8C,Uttar Pradesh,Hardoi,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Self-Employment / Enterprise,Medium,True,24.0
JOB_14A73AA8,Uttar Pradesh,Hardoi,Plumbing & Water Works,Plumber General,PSC/Q0104,Fixed Monthly,Medium,True,11.1
JOB_87754184,Uttar Pradesh,Hardoi,Construction,Assistant Mason,CON/Q0101,Self-Employment / Enterprise,Medium,True,21.4
JOB_4FE05EB3,Uttar Pradesh,Hardoi,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Self-Employment / Enterprise,Medium,False,22.1
JOB_F88905F8,Uttar Pradesh,Hardoi,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Self-Employment / Enterprise,Medium,True,23.0
JOB_B22BC356,Uttar Pradesh,Hardoi,Construction,Assistant Mason,CON/Q0101,Fixed Monthly,Medium,True,9.6
JOB_581F95F5,Uttar Pradesh,Hardoi,Handicrafts & Leather,Leather Goods Maker / Footwear Repairer,LSS/Q2501,Self-Employment / Enterprise,Medium,True,16.5
JOB_2C2A9742,Uttar Pradesh,Hardoi,Agriculture & Dairy,Dairy Farmer & Animal Husbandry Assistant,AGR/Q4101,Self-Employment / Enterprise,Low,True,21.4
JOB_4C7777D8,Uttar Pradesh,Hardoi,Agriculture & Dairy,Dairy Farmer & Animal Husbandry Assistant,AGR/Q4101,Self-Employment / Enterprise,Low,False,21.0
JOB_7C6E01BD,Uttar Pradesh,Hardoi,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Daily Wage,Medium,False,8.6
JOB_0CEE7181,Uttar Pradesh,Hardoi,Artisan & Carpentry,Assistant Carpenter,CON/Q0102,Self-Employment / Enterprise,Medium,False,12.8
JOB_684D6D1D,Uttar Pradesh,Hardoi,Artisan & Carpentry,Assistant Carpenter,CON/Q0102,Daily Wage,Medium,False,13.5
JOB_FAD98925,Uttar Pradesh,Hardoi,Handicrafts & Leather,Leather Goods Maker / Footwear Repairer,LSS/Q2501,Self-Employment / Enterprise,Medium,True,24.2
JOB_7F249A58,Uttar Pradesh,Hardoi,Handicrafts & Leather,Leather Goods Maker / Footwear Repairer,LSS/Q2501,Self-Employment / Enterprise,Medium,True,8.8
JOB_A6CA62D3,Uttar Pradesh,Hardoi,Artisan & Carpentry,Assistant Carpenter,CON/Q0102,Self-Employment / Enterprise,High,True,21.4
JOB_6FD1CAAC,Uttar Pradesh,Hardoi,Agriculture & Dairy,Dairy Farmer & Animal Husbandry Assistant,AGR/Q4101,Daily Wage,High,False,22.3
JOB_C5C728FC,Uttar Pradesh,Hardoi,Plumbing & Water Works,Plumber General,PSC/Q0104,Self-Employment / Enterprise,Medium,True,11.4
JOB_8C9D0E22,Uttar Pradesh,Hardoi,Construction,Assistant Mason,CON/Q0101,Daily Wage,Low,True,24.1
JOB_7918C306,Uttar Pradesh,Hardoi,Agriculture & Dairy,Dairy Farmer & Animal Husbandry Assistant,AGR/Q4101,Self-Employment / Enterprise,High,True,24.4
JOB_52952B79,Uttar Pradesh,Hardoi,Artisan & Carpentry,Assistant Carpenter,CON/Q0102,Fixed Monthly,Medium,True,22.4
JOB_3D9354E6,Uttar Pradesh,Hardoi,Handicrafts & Leather,Leather Goods Maker / Footwear Repairer,LSS/Q2501,Daily Wage,Low,True,23.2
JOB_9C59A6EA,Uttar Pradesh,Hardoi,Construction,Assistant Mason,CON/Q0101,Self-Employment / Enterprise,High,True,11.6
JOB_9C8E0EB9,Uttar Pradesh,Hardoi,Electrical & Solar,Wireman Helper,ELE/Q6001,Daily Wage,High,False,21.1
JOB_FCD71A30,Uttar Pradesh,Hardoi,Electrical & Solar,Wireman Helper,ELE/Q6001,Daily Wage,Medium,True,13.3
JOB_F97C5E99,Uttar Pradesh,Hardoi,Plumbing & Water Works,Plumber General,PSC/Q0104,Fixed Monthly,Medium,True,20.2
JOB_62A2FA42,Uttar Pradesh,Hardoi,Handicrafts & Leather,Leather Goods Maker / Footwear Repairer,LSS/Q2501,Fixed Monthly,Low,True,15.4
JOB_EBC2A1F4,Uttar Pradesh,Hardoi,Agriculture & Dairy,Dairy Farmer & Animal Husbandry Assistant,AGR/Q4101,Self-Employment / Enterprise,High,False,23.2
JOB_D40DAE94,Uttar Pradesh,Hardoi,Handicrafts & Leather,Leather Goods Maker / Footwear Repairer,LSS/Q2501,Self-Employment / Enterprise,Medium,True,15.1
JOB_8A7531C7,Uttar Pradesh,Hardoi,Handicrafts & Leather,Leather Goods Maker / Footwear Repairer,LSS/Q2501,Daily Wage,Medium,False,23.1
JOB_CD9A258F,Uttar Pradesh,Hardoi,Electrical & Solar,Wireman Helper,ELE/Q6001,Daily Wage,High,False,18.4
JOB_15118862,Uttar Pradesh,Hardoi,Electrical & Solar,Wireman Helper,ELE/Q6001,Self-Employment / Enterprise,Medium,False,13.9
JOB_E67ABD4F,Uttar Pradesh,Hardoi,Electrical & Solar,Wireman Helper,ELE/Q6001,Self-Employment / Enterprise,Low,False,22.6
JOB_B6999728,Uttar Pradesh,Hardoi,Electrical & Solar,Wireman Helper,ELE/Q6001,Fixed Monthly,High,False,18.9
JOB_4A56E17C,Uttar Pradesh,Hardoi,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Fixed Monthly,High,False,25.0
JOB_6C182524,Uttar Pradesh,Hardoi,Agriculture & Dairy,Dairy Farmer & Animal Husbandry Assistant,AGR/Q4101,Daily Wage,Medium,True,14.3
JOB_C6101043,Uttar Pradesh,Hardoi,Plumbing & Water Works,Plumber General,PSC/Q0104,Self-Employment / Enterprise,High,True,22.7
JOB_9657B82C,Uttar Pradesh,Agra,Handicrafts & Leather,Leather Goods Maker / Footwear Repairer,LSS/Q2501,Fixed Monthly,Medium,True,23.1
JOB_5E28B22B,Uttar Pradesh,Agra,Construction,Assistant Mason,CON/Q0101,Fixed Monthly,Medium,False,9.5
JOB_4F899A0F,Uttar Pradesh,Agra,Artisan & Carpentry,Assistant Carpenter,CON/Q0102,Daily Wage,Low,False,9.9
JOB_6F773B61,Uttar Pradesh,Agra,Plumbing & Water Works,Plumber General,PSC/Q0104,Self-Employment / Enterprise,Medium,True,16.0
JOB_EC954B1E,Uttar Pradesh,Agra,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Daily Wage,High,False,22.3
JOB_ECEC69EF,Uttar Pradesh,Agra,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Self-Employment / Enterprise,Medium,False,16.3
JOB_E10578AA,Uttar Pradesh,Agra,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Self-Employment / Enterprise,Low,False,15.1
JOB_7DA4FA15,Uttar Pradesh,Agra,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Daily Wage,Medium,True,11.1
JOB_F9FE981B,Uttar Pradesh,Agra,Agriculture & Dairy,Dairy Farmer & Animal Husbandry Assistant,AGR/Q4101,Daily Wage,Low,True,22.5
JOB_E70486BB,Uttar Pradesh,Agra,Handicrafts & Leather,Leather Goods Maker / Footwear Repairer,LSS/Q2501,Fixed Monthly,Medium,True,23.3
JOB_91CDB134,Uttar Pradesh,Agra,Plumbing & Water Works,Plumber General,PSC/Q0104,Fixed Monthly,Low,True,11.5
JOB_C62D7912,Uttar Pradesh,Agra,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Self-Employment / Enterprise,Medium,True,16.6
JOB_7A852413,Uttar Pradesh,Agra,Agriculture & Dairy,Dairy Farmer & Animal Husbandry Assistant,AGR/Q4101,Daily Wage,Medium,True,19.9
JOB_6D0D91D8,Uttar Pradesh,Agra,Construction,Assistant Mason,CON/Q0101,Fixed Monthly,High,True,19.4
JOB_091E499B,Uttar Pradesh,Agra,Handicrafts & Leather,Leather Goods Maker / Footwear Repairer,LSS/Q2501,Daily Wage,Medium,True,20.5
JOB_3854A3C3,Uttar Pradesh,Agra,Plumbing & Water Works,Plumber General,PSC/Q0104,Daily Wage,Medium,True,13.7
JOB_ED52CDBD,Uttar Pradesh,Agra,Handicrafts & Leather,Leather Goods Maker / Footwear Repairer,LSS/Q2501,Fixed Monthly,Medium,True,9.1
JOB_A1650220,Uttar Pradesh,Agra,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Fixed Monthly,Medium,True,14.1
JOB_8A493D07,Uttar Pradesh,Agra,Agriculture & Dairy,Dairy Farmer & Animal Husbandry Assistant,AGR/Q4101,Daily Wage,Medium,True,18.4
JOB_0A8B6F87,Uttar Pradesh,Agra,Electrical & Solar,Wireman Helper,ELE/Q6001,Self-Employment / Enterprise,Medium,True,17.8
JOB_D77960B4,Uttar Pradesh,Agra,Artisan & Carpentry,Assistant Carpenter,CON/Q0102,Fixed Monthly,High,False,21.5
