state,centre_name,address,email,phone,courses_offered
andhra pradesh,"Nandu Private ITI,Kanithi Road, kailash Nagar,Gajuwaka, Distt. Visakhapatnam","Nandu Pvt ITI,Kanithi Rd, kailash Nagar, Gajuwaka",nanduitcgwk@gmail.com,9652222678,WELDER (NSQF) | FITTER (NSQF) | ELECTRICIAN (NSQF)
andhra pradesh,"Gayatri Pvt. Industial Training Institute, Adoni",Adoni,gayatri.itc.adoni1@gmail.com,9985022128,ELECTRICIAN (NSQF)
andhra pradesh,Techno-World ITC,Gajuwaka,technoworld41@gmail.com,9490452112,ELECTRICIAN (NSQF) | FITTER (NSQF)
andhra pradesh,Sri Swathi Vasanthi Industrial Training Centre,8-1-63/32 Padwaltair PS,illanagaraju@gmail.com,8688424282,ELECTRICIAN (NSQF) | FITTER (NSQF) | ELECTRONICS MECHANIC (NSQF)
andhra pradesh,K R Industrial Training Centre,Vadlapudi (P.O) Kurumannapalem,kritcvizag@gmail.com,9849183354,ELECTRICIAN (NSQF) | WELDER (NSQF) | FITTER (NSQF)
andhra pradesh,"Hazarth Junnu S-haheed Industrial Training Centre ,Guntur","Ponnur Road, GUNTUR -3",hjsitc.gnt@hotmail.com,9493376826,ELECTRICIAN (NSQF) | FITTER (NSQF)
andhra pradesh,"T G L Thimmaiah Setty Pvt. Industial Training Institute, Adoni",T.G.K Nagar Adoni,tgliti@gmail.com,9581932779,DRAUGHTSMAN (CIVIL) (NSQF) | FITTER (NSQF)
andhra pradesh,"Vijaya Instt. of Para Medical Science Pvt. Industial Training Institute, kurnool","D.No.45/202 Ashok Nagar, Venkataramana Colony Road,",vijayacollege84@gmail.com,8919508594,HEALTH SANITARY INSPECTOR (NSQF)
andhra pradesh,"National Pvt. Industrial Training Institute, Kurnool",Osmania College Road Doctor Colony B.Camp,national.iti.nizamuddin@gmail.com,9440289158,ELECTRICIAN (NSQF) | MECHANIC (MOTOR VEHICLE) (NSQF) | MECHANIC DIESEL (NSQF) | FITTER (NSQF) | DRAUGHTSMAN (CIVIL) (NSQF)
andhra pradesh,"Sri Sarvodaya Pvt. Industrial Training Institute, Kurnool",Madur Nagar,srisarvodayaitc@gmail.com,9885771219,FITTER (NSQF) | MECHANIC (MOTOR VEHICLE) (NSQF) | DRAUGHTSMAN (CIVIL) (NSQF) | ELECTRICIAN (NSQF)
andhra pradesh,Shri Vemana Industrial Training Centre,Balacheruvu Road Pedagantiada,srivemanaiti@gmail.com,9246621337,WELDER (NSQF) | ELECTRICIAN (NSQF) | MECHANIC DIESEL (NSQF) | ELECTRONICS MECHANIC (NSQF) | DRAUGHTSMAN (CIVIL) (NSQF) | FITTER (NSQF)
andhra pradesh,Sri Rama Industrial Training Centre,Mulavanka Lakkireddypalli L.R. Palli Constituency,srirama.iti@rediffmail.com,9989789423,MECHANIC (MOTOR VEHICLE) (NSQF) | MECHANIC DIESEL (NSQF) | ELECTRICIAN (NSQF) | FITTER (NSQF)
andhra pradesh,Mokshagundem Vishesweriah Industrial Training Cent,Kotha Indlu 28-25 Punganur,mvitc.pgr1@gmail.com,9701997829,MECHANIC DIESEL (NSQF) | ELECTRICIAN (NSQF)
andhra pradesh,"Janjanam Mangaladri Industrial Training Centre,Chi","Chinakakani,Mangalagiri md, Guntur dt,",jmiti.mgl@gmail.com,9966227215,MECHANIC DIESEL (NSQF) | PLUMBER (NSQF) | FITTER (NSQF) | ELECTRICIAN (NSQF) | DRAUGHTSMAN (CIVIL) (NSQF) | WELDER (NSQF)
andhra pradesh,Dharmatheja Industrial Training Centre,"D.No.- 4/656, R.T.C. Colony By Pass Road",yemisetty.srihari@gmail.com,9959216159,ELECTRICIAN (NSQF) | MECHANIC DIESEL (NSQF)
andhra pradesh,A Raja Reddy Memorial Industrail Training Centre,"F-4, Industrial Estate Chittoor",reubanjayakumar@gmail.com,8790168898,ELECTRICIAN (NSQF) | MECHANIC (MOTOR VEHICLE) (NSQF) | FITTER (NSQF)
andhra pradesh,Nalam Industrial Training Centre,"Plot 91, Wood Complex Rapur Constitutency Vedayapa",premakumardarisi@gmail.com,8886051272,ELECTRONICS MECHANIC (NSQF) | ELECTRICIAN (NSQF) | FITTER (NSQF)
andhra pradesh,Sidhardha Industrial Training Centre,Amadalavalasa D.No.16-1-87 Industrial Estate,siddardhaitc.adv@gmail.com,7330706467,FITTER (NSQF) | WELDER (NSQF) | ELECTRICIAN (NSQF)
andhra pradesh,Minors Industrial Training Centre,Pondurthi,minors1120@yahoo.in,9912636641,ELECTRICIAN (NSQF) | FITTER (NSQF) | WELDER (NSQF)
andhra pradesh,Sri Uma Bharathi Industrial Training Centre,Railway Station Road Sruagavava ukota,itisub.skota@gmail.com,7285911536,MECHANIC DIESEL (NSQF) | WELDER (NSQF) | ELECTRICIAN (NSQF) | ELECTRONICS MECHANIC (NSQF) | FITTER (NSQF)
andhra pradesh,Sri Ramaiah Industrial Training Centre,Akkayapalle Post-Ravindra Nagar,sriramaiahitc@rediffmail.com,9440941885,MECHANIC DIESEL (NSQF) | FITTER (NSQF) | MECHANIC (MOTOR VEHICLE) (NSQF) | ELECTRICIAN (NSQF)
andhra pradesh,Sri Venkateswara Industrial Training Centre,5-3-82/4 Amudalavalasa,srivenkateswaraitc.adv@gmail.com,9848311138,ELECTRICIAN (NSQF) | MECHANIC DIESEL (NSQF) | FITTER (NSQF)
andhra pradesh,Sri Shiva Reddy Industrial Training Centre,5/153 Ravindra Nagar,sivareddyitckadapa@yahoo.com,8886844450,ELECTRONICS MECHANIC (NSQF) | ELECTRICIAN (NSQF) | MECHANIC DIESEL (NSQF) | MECHANIC (MOTOR VEHICLE) (NSQF) | FITTER (NSQF)
andhra pradesh,"Don Bosco Industrial Training Centre,Guntur","Ring Road , GUNTUR",donboscoguntur@yahoo.co.in,9491654275,ELECTRICIAN (NSQF) | MECHANIC (MOTOR VEHICLE) (NSQF) | CARPENTER (NSQF) | ELECTRONICS MECHANIC (NSQF) | FITTER (NSQF)
andhra pradesh,St. Ann s Industrial Training Centre,"Krishnarai Puram, Vepagunta Post, Pendurthi(Md)",lakshmikanth.iti@gmail.com,9866867290,ELECTRICIAN (NSQF) | ELECTRONICS MECHANIC (NSQF) | FITTER (NSQF)
andhra pradesh,Sri Sarvamangala Industrial Training Centre,Tekkalil,ssmpvtiti.tekkali@rediffmail.com,9440334008,MECHANIC DIESEL (NSQF) | FITTER (NSQF) | ELECTRICIAN (NSQF)
andhra pradesh,"Bharat Industrial Training Centre,Nidubrolu",Nidubrolu-Pennuru Pennur,prasannay@rocketmail.com,9440751721,ELECTRONICS MECHANIC (NSQF) | FITTER (NSQF) | ELECTRICIAN (NSQF) | MECHANIC DIESEL (NSQF)
andhra pradesh,Sri Krishna Devaraya Industrial Training Centre,B. V. Nagar Baktavaschala Nagar,padmajadarisi@gmail.com,9550155862,ELECTRICIAN (NSQF) | MECHANIC DIESEL (NSQF) | FITTER (NSQF)
andhra pradesh,Nagavali Industrial Training Centre,Rajam,nagavaliprivateiti.rajam@gmail.com,9848544446,ELECTRICIAN (NSQF) | WELDER (NSQF) | ELECTRONICS MECHANIC (NSQF) | MECHANIC DIESEL (NSQF) | FITTER (NSQF)
andhra pradesh,Sri Y S Geroge Reddy Industrial Training Institute,Pulivendula,ysgriti@gmail.com,9440922038,FITTER (NSQF) | INSTRUMENT MECHANIC (NSQF) | DRAUGHTSMAN (CIVIL) (NSQF) | ELECTRICIAN (NSQF) | ELECTRONICS MECHANIC (NSQF) | MECHANIC DIESEL (NSQF)
andhra pradesh,Nagarjun Industrial Training Centre,Bhimavaram Shivaraopet,nagarjunaitc@gmail.com,7659822222,MECHANIC DIESEL (NSQF) | DRAUGHTSMAN (CIVIL) (NSQF) | FITTER (NSQF) | ELECTRICIAN (NSQF)
andhra pradesh,"Sri Venkateshwra Industrial Training Centre, Velugonda",Konakanamitta Velugonda,ratnamsettygumpalli@gmail.com,9440320336,MECHANIC (MOTOR VEHICLE) (NSQF) | FITTER (NSQF) | MECHANIC DIESEL (NSQF) | ELECTRICIAN (NSQF)
andhra pradesh,"Wesley Industrial Training Centre,",Rajanagaram Mandal,prince.gogulamanda@gmail.com,9704543235,FITTER (NSQF) | ELECTRICIAN (NSQF)
andhra pradesh,"Rajiv Gandhi Memorial Industrial Training Centre, Markapur",Markapur,rasoolbashargmitc@gmail.com,9989512759,MECHANIC DIESEL (NSQF) | DRAUGHTSMAN (CIVIL) (NSQF) | ELECTRICIAN (NSQF)
andhra pradesh,"Smt N.Venkata Ramanamma Memorial Industrial Training Institute, kovur","Kovur, SPSR NELLORE (Dist)",nvrmitc.kov@gmail.com,9440277750,ELECTRONICS MECHANIC (NSQF) | FITTER (NSQF) | MECHANIC (MOTOR VEHICLE) (NSQF) | ELECTRICIAN (NSQF)
andhra pradesh,"M. G. S. Industrial Training Centre,Takkellapadu","Takkellapadu post, PedaKakani Mandal,Guntur",immis211@yahoo.co.in,9000428882,TURNER (NSQF) | ELECTRICIAN (NSQF) | FITTER (NSQF) | WELDER (NSQF)
andhra pradesh,Vignan Industrial Training Centre,Shirdi Sai Nagar Akutota Malavada Mothukur Road,vignanitc.nlr@rediffmail.com,9247760372,ELECTRICIAN (NSQF)
andhra pradesh,Sri Venkateswara Industrial Training Centre,Cuddapah,svitcprincipal@yahoo.com,8341549277,MECHANIC (MOTOR VEHICLE) (NSQF) | ELECTRICIAN (NSQF) | DRAUGHTSMAN (CIVIL) (NSQF) | FITTER (NSQF)
andhra pradesh,Sri Venkateswara Industrial Training Centre,Madan Mohan Nagar Mydukur,svitcmydukur@gmail.com,9490653740,FITTER (NSQF) | MECHANIC DIESEL (NSQF) | ELECTRICIAN (NSQF)
andhra pradesh,Sri Venku Reddy Industrial Training Centre,Madhavaram Post,srivenku3@gmail.com,9885161679,FITTER (NSQF) | ELECTRICIAN (NSQF) | MECHANIC DIESEL (NSQF)
andhra pradesh,Loyola Industrial Training Centre,Pendurti,loyola1119@yahoo.in,9989896200,ELECTRICIAN (NSQF) | WELDER (NSQF) | ELECTRONICS MECHANIC (NSQF) | FITTER (NSQF)
andhra pradesh,Smt. Sarojini Industrial Training Centre,Garividi,jrtsk9@gmail.com,9985248888,FITTER (NSQF) | ELECTRICIAN (NSQF)
andhra pradesh,Bhavani Industrial Training Centre,S. Kota,ryk.bhavaniiti@gmail.com,9866568783,ELECTRONICS MECHANIC (NSQF) | FITTER (NSQF) | MECHANIC DIESEL (NSQF) | WELDER (NSQF) | ELECTRICIAN (NSQF)
andhra pradesh,Sri Kota Durga Industrial Training Centre,Palakonda Women College Raod,madhusudhanarao.12345@gmail.com,9246636066,MECHANIC DIESEL (NSQF) | ELECTRICIAN (NSQF) | FITTER (NSQF) | WELDER (NSQF)
andhra pradesh,"Sri Sai Pvt. Industial Training Institute, Munagalapadu",Munagalpadu,sai.itcs57@gmail.com,9014606363,MECHANIC DIESEL (NSQF) | ELECTRICIAN (NSQF)
andhra pradesh,Sri Srinivasa Industrial Training Centre,Bobbilli,sri.srinivasaitc@gmail.com,9494773944,MECHANIC DIESEL (NSQF) | FITTER (NSQF) | DRAUGHTSMAN (CIVIL) (NSQF) | ELECTRICIAN (NSQF)
andhra pradesh,Navodaya Industrial Training Centre,Cuddapah,itinavodaya22@gmail.com,9866124436,ELECTRICIAN (NSQF) | MECHANIC DIESEL (NSQF) | FITTER (NSQF)
andhra pradesh,Sri Shiridi Sai Baba Industrial Training Center,Kalas Padu,itc.kalasapadu@gmail.com,9652549654,ELECTRICIAN (NSQF) | MECHANIC DIESEL (NSQF)
andhra pradesh,Vidya Bharathi Industrial Training Centre,Mumbai Road Buchireddy Palem,sreenipanchakatla@gmail.com,9848116088,ELECTRICIAN (NSQF) | FITTER (NSQF) | MECHANIC DIESEL (NSQF)
andhra pradesh,Alluri Satyanarayana Raju (ASR ITC) Industrial Training Centre,Ullamparru Ullamparru,avvprasad69@gmail.com,9908199599,WIREMAN (NSQF) | ELECTRICIAN (NSQF) | MECHANIC DIESEL (NSQF) | FITTER (NSQF) | PLUMBER (NSQF)
andhra pradesh,Surya Industrial Training Centre,Jami Vizianagaram,allusrikanth78@yahoo.com,9182229419,FITTER (NSQF) | ELECTRICIAN (NSQF) | MECHANIC DIESEL (NSQF)
andhra pradesh,Vivekananda Industrial Training Centre,"Dowlaiswaram, Rajahmundry",hrbandila@gmail.com,9849166399,FITTER (NSQF) | WELDER (NSQF) | MECHANIC DIESEL (NSQF) | ELECTRICIAN (NSQF) | ELECTRONICS MECHANIC (NSQF)
andhra pradesh,Krishnaveni Industrial Training Centre,"14/194-7B, NIZAMPET, SRINAGAR COLONY MACHILIPATTANAM",krishnaveniiti@gmail.com,9247438800,ELECTRONICS MECHANIC (NSQF) | TURNER (NSQF) | FITTER (NSQF) | ELECTRICIAN (NSQF) | MECHANIC (MOTOR VEHICLE) (NSQF) | MACHINIST (NSQF) | MECHANIC DIESEL (NSQF) | WELDER (NSQF)
andhra pradesh,Sri Sai Industrial Training Centre,Arasavalli Road,srisaiprivateiti1205@gmail.com,9849898179,ELECTRONICS MECHANIC (NSQF) | ELECTRICIAN (NSQF) | DRAUGHTSMAN (MECHANICAL) (NSQF) | DRAUGHTSMAN (CIVIL) (NSQF) | FITTER (NSQF)
andhra pradesh,Bharathi Industrial Training Centre,3rd Ward Palalconda Road Baloga Junction,bharathipvtiti@gmail.com,9440492098,FITTER (NSQF) | ELECTRICIAN (NSQF) | MECHANIC DIESEL (NSQF)
andhra pradesh,Sri Sai Industrial Training Centre,Pendurthi,sirlapu.99@gmail.com,9849143339,FITTER (NSQF) | MECHANIC DIESEL (NSQF) | ELECTRICIAN (NSQF) | WELDER (NSQF)
andhra pradesh,Indira Gandhi Ayyappa Industrial Training Centre,Seethanagram Bobbili,igaitcbbl@gmail.com,9866629262,ELECTRICIAN (NSQF) | FITTER (NSQF)
andhra pradesh,Siddhartha Industrial Traininig Centre,Vuyyuru Thotlavalluru Roa,siti.1630fi@gmail.com,9848392155,DRAUGHTSMAN (MECHANICAL) (NSQF) | FITTER (NSQF)
andhra pradesh,Rayalaseema Industrial Training Centre,Chemmumiapet Cuddapah,harish.kumar0606@gmail.com,9440270116,MECHANIC (MOTOR VEHICLE) (NSQF) | ELECTRICIAN (NSQF) | ELECTRONICS MECHANIC (NSQF) | WELDER (NSQF) | DRAUGHTSMAN (CIVIL) (NSQF) | FITTER (NSQF) | MECHANIC DIESEL (NSQF)
andhra pradesh,Sri Venkateswara Rajamata Industrial Training Centre,"Muddarangaiah, Thota, Guntakal,",SVRAJAMATHA@GMAIL.COM,9703487926,MECHANIC DIESEL (NSQF) | ELECTRONICS MECHANIC (NSQF) | ELECTRICIAN (NSQF) | WIREMAN (NSQF) | MECHANIC (MOTOR VEHICLE) (NSQF)
andhra pradesh,K N R Memorial Industrial Training Centre,"4-66/A, Opp-Natraj Theatre, Pendurthi",kommoji_laxman@yahoo.com,9553092664,INSTRUMENT MECHANIC (NSQF) | WELDER (NSQF) | MECHANIC (MOTOR VEHICLE) (NSQF)
andhra pradesh,Sri Sanjay Gandhi Memorial Industrial Training Centre,Nididavolu,wgssgmpiti@yahoo.com,9440916976,ELECTRICIAN (NSQF) | FITTER (NSQF) | DRAUGHTSMAN (CIVIL) (NSQF)
andhra pradesh,Shri Kandula Obula Reddy Charities Industrial Training Centre,Vaimpalli,skorcitc@gmail.com,9948664728,ELECTRICIAN (NSQF) | MECHANIC (MOTOR VEHICLE) (NSQF) | PLUMBER (NSQF) | WELDER (NSQF) | MECHANIC DIESEL (NSQF) | DRAUGHTSMAN (CIVIL) (NSQF) | FITTER (NSQF)
andhra pradesh,Don Bosco Industrial Training Institute,Station Road,donboscoitikadapa@gmail.com,9885846885,FITTER (NSQF) | DRAUGHTSMAN (CIVIL) (NSQF) | MACHINIST (NSQF) | ELECTRICIAN (NSQF) | TURNER (NSQF) | WELDER (NSQF)
andhra pradesh,"Sri Shirdi Saibaba Industrial Training Centre, Duggirala",Duggirala Post &amp;amp;amp;amp; Mandal,gnagasatheesh@gmail.com,9502316141,FITTER (NSQF) | MECHANIC DIESEL (NSQF) | ELECTRICIAN (NSQF)
andhra pradesh,Vikram Industrial Training Centre,Vuyyuru,avreddy555@gmail.com,9948723322,FITTER (NSQF) | MECHANIC DIESEL (NSQF) | ELECTRICIAN (NSQF)
andhra pradesh,Dr. B S R Industrial Training Institute,Atmakur,bsritc@gmail.com,9948787955,FITTER (NSQF) | MECHANIC DIESEL (NSQF) | ELECTRICIAN (NSQF)
andhra pradesh,"Sri Venkateswara Industrial Training Centre, Gidda","lur-523357, Prakasam Dist., Andhra Pradesh.",svitcgiddaluru@gmail.com,9866411081,MECHANIC DIESEL (NSQF) | FITTER (NSQF) | ELECTRICIAN (NSQF) | DRAUGHTSMAN (CIVIL) (NSQF)
andhra pradesh,Varun Industrial Training Centre,"Sri Nagar Colony, Gudiyatham Road, Palamaneru",varunitc8@gmail.com,9959553052,MECHANIC DIESEL (NSQF) | SEWING TECHNOLOGY (NSQF) | FITTER (NSQF) | ELECTRICIAN (NSQF) | WIREMAN (NSQF)
andhra pradesh,The Ameen Industrial Training Centre,Madras Road Ramanjaneyapuram,ameenitikdp2105@gmail.com,9160777136,ELECTRICIAN (NSQF) | DRAUGHTSMAN (CIVIL) (NSQF) | FITTER (NSQF) | MECHANIC DIESEL (NSQF)
andhra pradesh,Sri Rama Industrial Training Centre,Market Road Ponduru,sriramaprivateiti@gmail.com,9440081271,FITTER (NSQF) | MECHANIC DIESEL (NSQF) | ELECTRICIAN (NSQF)
andhra pradesh,Sree Bhavani ITI,Aniat Road Ranganaykula peta,vijaybharaths@yahoo.com,8639146602,DRAUGHTSMAN (CIVIL) (NSQF) | ELECTRICIAN (NSQF) | FITTER (NSQF)
andhra pradesh,Sri Chaithanya Industrial Traininig Centre,Udayagir,dgreddyiti@gmail.com,9440823721,FITTER (NSQF) | MECHANIC DIESEL (NSQF) | ELECTRICIAN (NSQF)
andhra pradesh,Siddhartha Industrial Training Centre,Undi Road Raghugurukulam Bhimavara,wgsidpiti@gmail.com,9989955669,FITTER (NSQF) | ELECTRICIAN (NSQF) | DRAUGHTSMAN (CIVIL) (NSQF)
andhra pradesh,Ravindra Industrial Training Centre,Tanuku RTC Bus Complex,wgrpiti@gmail.com,9951495656,DRAUGHTSMAN (MECHANICAL) (NSQF) | ELECTRICIAN (NSQF) | FITTER (NSQF) | DRAUGHTSMAN (CIVIL) (NSQF) | MECHANIC DIESEL (NSQF)
andhra pradesh,Dr Tamma Anand Memorial Industrial Training Centre,Pamarru,tamitc@rediffmail.com,9848237555,FITTER (NSQF) | ELECTRICIAN (NSQF)
andhra pradesh,Diviseema Industrial Training Centre,CHALLAPALLY,diviseemaiti@rediffmail.com,9885252568,MECHANIC DIESEL (NSQF) | ELECTRICIAN (NSQF) | WELDER (NSQF) | FITTER (NSQF)
andhra pradesh,A J K Industrial Training Centre,Rajupeta Machilipatanam,ajkiti.mtm@gmail.com,9949411969,MECHANIC DIESEL (NSQF) | FITTER (NSQF) | ELECTRONICS MECHANIC (NSQF)
andhra pradesh,Vijay Bharti Industrial Training Centre,Tadapalligudem,wgvbpitinvgs@gmail.com,9491556352,MECHANIC DIESEL (NSQF) | ELECTRICIAN (NSQF) | INSTRUMENT MECHANIC (NSQF) | FITTER (NSQF)
andhra pradesh,Sri Sai Balaji Private ITI,"D.no. 16-3-1/4 Rustumbada, Narasapuram",wgsbpiti@gmail.com,9491019294,ELECTRICIAN (NSQF) | FITTER (NSQF)
andhra pradesh,Sri Venkata Rayudu Memorial Private ITI,Peravalli,Wgsvrmpitinvgs@gmail.com,9959509543,ELECTRICIAN (NSQF) | FITTER (NSQF)
andhra pradesh,"G D Naidu Industrial Training Institute, Kavali","Musunuru,Bit-2,Kavali.",gdnaiduitc@gmail.com,9000919753,ELECTRICIAN (NSQF) | MECHANIC (MOTOR VEHICLE) (NSQF) | FITTER (NSQF)
andhra pradesh,Sri Rama Industrial Training Centre,Biccavolu Kummaripalem,esrinu35@yahoo.in,9491425443,ELECTRONICS MECHANIC (NSQF) | FITTER (NSQF) | DRAUGHTSMAN (CIVIL) (NSQF) | ELECTRICIAN (NSQF)
andhra pradesh,Sri Sarvodaya Industrial Training Centre,Himelspet-Post Proddutur,sarvodayaitipdtr@gmail.com,8886841108,MECHANIC (MOTOR VEHICLE) (NSQF) | ELECTRICIAN (NSQF) | FITTER (NSQF) | DRAUGHTSMAN (CIVIL) (NSQF)
andhra pradesh,Batchala Nagamma Memorial Industrial Training Centre,Saikuteer Road Proddatur Holmespet,bnmitcpdtr@gmail.com,9985283715,FITTER (NSQF) | DRAUGHTSMAN (CIVIL) (NSQF) | MECHANIC DIESEL (NSQF) | ELECTRICIAN (NSQF) | MECHANIC (MOTOR VEHICLE) (NSQF)
andhra pradesh,Surineni ITC,"C-B Road, bangarpalyam",surineniitc8@gmail.com,7207777766,MECHANIC DIESEL (NSQF) | DRAUGHTSMAN (CIVIL) (NSQF) | ELECTRICIAN (NSQF)
