NQR QUALIFICATIONS SUMMARY SHEET,,,,Downloaded on: 17-09-2026 06:36:58,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
S No.,Title,Code,Description,Sector Name,Level,Maximum Notational Hours,Minimum Notational Hours,Version,Originally Approved,Valid Till,Awarding Body,Certifying Bodies,Proposed Occupation,Progression Pathway,Qualifcation Type,Adopted Qualifcation,Training Delivery Hours,,
1290,Retail Trainee Associate - PwD SHI,QG-03-PWD-01645-2023-V1.1-SCPWD,Individuals in this position display merchandise and interact with customers to understand their needs to service them with sales of relevant product offerings whilst working cordially within the team and retail organisation.,Persons with Disability,Level 3,510 Hours,510 Hours,Version ,28 Apr 2022,25 Nov 2025,Skill Council for Persons with Disability (SCPwD),Skill Council for Persons with Disability,Store Operations,Retail Sales Associate,General Qualification,Retail,"{""Theory"":""200"",""Practical"":""280"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""0""}",,
1291,Retail Trainee Associate - PwD LV,QG-03-PWD-01644-2023-V1.1-SCPWD,Individuals in this position display merchandise and interact with customers to understand their needs to service them with sales of relevant product offerings whilst working cordially within the team and retail organisation.,Persons with Disability,Level 3,720 Hours,720 Hours,Version ,28 Apr 2022,25 Nov 2025,Skill Council for Persons with Disability (SCPwD),Skill Council for Persons with Disability,Store Operations,Retail Sales Associate,General Qualification,Retail,"{""Theory"":""197"",""Practical"":""493"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""0""}",,
1292,Drone Data Processor,QG-05-TL-02635-2024-V1-TSSC,"The individual of this job role is responsible for data extraction and collection, encompassing images, videos, thermal, infrared, radio frequency, lidar, and radar inputs, with a focus on generating precise 3D Point Clouds in. xyz and. las formats. The individual is also responsible for Utilizing both local computer and Cloud-based software, the role involves adept data processing, followed by insightful analysis and projection for informed decision-making.",Telecom,Level 5,540 Hours,540 Hours,Version ,30 May 2024,30 May 2027,Telecom Sector Skill Council (TSSC),Telecom Sector Skill Council,N/A,Drone Telecom Surveyor,"Apprenticeship Qualification,Future Skills Qualification",N.A.,"{""Theory"":""90"",""Practical"":""210"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""180""}",,
1293,Solar PV Installer (Suryamitra)-PwD SHI,QG-04-PWD-01608-2023-V1.1-SCPWD,"Solar PV Installer checks, adapts, implements, configures, installs, inspects, tests and commissions different components of photovoltaic systems, that meet the performance and reliability needs of customers by incorporating quality craftsmanship and compliance with all applicable codes, standards and safety requirements.",Persons with Disability,Level 4,480 Hours,480 Hours,Version ,30 Dec 2021,27 May 2025,Skill Council for Persons with Disability (SCPwD),Skill Council for Persons with Disability,Solar Panel Installation Technician,Vertical Progression: Solar PV O&M Engineer (Level 5),General Qualification,Green Jobs,"{""Theory"":""180"",""Practical"":""240"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""0""}",,
1294,Fundamental for IoT for Home Automation,NG-04-EH-02532-2024-V1-SCTEVTO,"This unit is about performing installation, onsite troubleshooting and repairing of the home automation systems as per the specifications of the manufacturer and consultation with the customer addressing his/her needs.",Electronics & HW,Level 4,120 Hours,120 Hours,Version ,30 Apr 2024,29 Apr 2027,"State Council for Technical Education & Vocational Training, Odisha","State Council for Technical Education & Vocational Training, Bhubaneswar, Odisha",Automation,"Jr. Engineer
Sr. Engineer
Proprietor/ Entrepreneur",Future Skills Qualification,N.A.,"{""Theory"":""40"",""Practical"":""80"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""0""}",,
1295,Jr. Instructor Rope activities,QG-04-TH-02440-2024-V2-THSC,"An instructor is responsible for conducting the particular activity safely in a controlled and evaluated environment. They supervise and guide the assistant instructors in ropes/cable set up for rock climbing and abseiling, zip lines, high ropes course/low ropes course/challenge course, assessing the condition of the climbing ropes and cables, equipment maintenance, instructing and coaching the tourists on the procedures and techniques of the climb and ensuring the safety of the students/clients.",Tourism & Hospitality,Level 4,420 Hours,420 Hours,Version ,30 Apr 2024,30 Apr 2027,Tourism and Hospitality Skill Council (THSC),Tourism and Hospitality Sector Skill Council,Rope Courses,Adventure Travel Guide (Low Altitude),General Qualification,N.A.,"{""Theory"":""90"",""Practical"":""150"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""120""}",,
1296,Mountain Cuisine Chef,QG-4.5-TH-02444-2024-V2-THSC,"A mountain cuisine chef is responsible for planning and cooking daily meals for the trekkers/climbers during a trek, raft trip or climbing expedition. The person is responsible for managing the kitchen helpers, cooking stations and ration supplies at every campsite during the trek.",Tourism & Hospitality,Level 4.5,600 Hours,600 Hours,Version ,30 Apr 2024,30 Apr 2027,Tourism and Hospitality Skill Council (THSC),Tourism and Hospitality Sector Skill Council,Mountain Based Activities,Himalayan Expedition Pathfinder /HAP,General Qualification,N.A.,"{""Theory"":""150"",""Practical"":""240"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",,
1297,Plumber - General -PwD LD,QG-04-PWD-01664-2023-V1.1-SCPWD,"The Plumber - General installs sewage and drainage systems, water supply systems, general and advanced sanitary fittings and fixtures in housing, commercial and institutional setups. The Plumber- General also maintains the plumbing systems and fixtures for housing setups.",Persons with Disability,Level 4,510 Hours,510 Hours,Version ,30 Jun 2022,19 Jun 2026,Skill Council for Persons with Disability (SCPwD),Skill Council for Persons with Disability,Plumbing Systems Installation and Maintenance,Plumbing Supervisor,General Qualification,PLUMBING,"{""Theory"":""150"",""Practical"":""300"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""0""}",,
1298,Plumber-General-PwD SHI,QG-04-PWD-01665-2023-V1.1-SCPWD,"The Plumber - General installs sewage and drainage systems, water supply systems, general and advanced sanitary fittings and fixtures in housing, commercial and institutional setups. The Plumber- General also maintains the plumbing systems and fixtures for housing setups.",Persons with Disability,Level 4,600 Hours,600 Hours,Version ,30 Jun 2022,19 Jun 2026,Skill Council for Persons with Disability (SCPwD),Skill Council for Persons with Disability,Plumbing Systems Installation and Maintenance,Plumbing Supervisor,General Qualification,PLUMBING,"{""Theory"":""210"",""Practical"":""330"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""0""}",,
1299,Retail Outlet Attendant (Oil & Gas) _PwD SHI,QG-03-PWD-01674-2023-V1.1-SCPWD,"The individuals need to work at the fuel station and fill the required quantity and appropriate type of fuel (petrol, diesel, and CNG) in the vehicles while following standard safety procedures. The person at this job also needs to complete and close financial transactions for the services rendered.",Persons with Disability,Level 3,480 Hours,390 Hours,Version ,28 Jul 2022,27 Jan 2026,Skill Council for Persons with Disability (SCPwD),Skill Council for Persons with Disability,Retail Outlet Operation,Retail Outlet Supervisor (Oil & Gas),General Qualification,Hydrocarbon,"{""Theory"":""150"",""Practical"":""210"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""0""}",,
1300,LPG delivery personnel_ PwD SHI,QG-03-PWD-01675-2023-V1.1-SCPWD,Individuals at this job need to collect LPG cylinders from the godown to deliver and install in the consumer's place while following standard safety procedures. The individual must also complete the f inancial transaction for the service rendered,Persons with Disability,Level 3,480 Hours,390 Hours,Version ,28 Jul 2022,27 Jan 2026,Skill Council for Persons with Disability (SCPwD),Skill Council for Persons with Disability,LPG Distribution,Supervisor-LPG Distribution/Godown,General Qualification,Hydrocarbon,"{""Theory"":""150"",""Practical"":""210"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""0""}",,
1301,Air Cargo Booking Executive,QG-04-TW-02193-2024-V1-LSC,"The Air Cargo Booking Executive is responsible for performing functions related to cargo reservations, pricing, capacity optimization, handling of IT systems, freighter planning for general and special cargo. S/he is also tasked with the responsibility of handling general cargo commercial related functions.","Transportation, Logistics & Warehousing",Level 4,450 Hours,390 Hours,Version ,15 Mar 2024,15 Mar 2027,Logistics Sector Skill Council (LSC),Logistics sector skill council,Cargo Commercial,Air Cargo Booking Supervisor,Cross Sectoral Qualification,N.A.,"{""Theory"":""120"",""Practical"":""210"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""30""}",,
1302,Customer Care Executive-Voice (Divyangjan)-LD,QG-04-PWD-01702-2023-V1.1-SCPWD,"Individuals in this job receive and make telephone calls which are primarily scripted, basic and routine with the assistance of a computerised system. They answer inquiries, resolve problems, record complaints and/or receive feedback",Persons with Disability,Level 4,480 Hours,480 Hours,Version ,17 Nov 2022,13 Sep 2025,Skill Council for Persons with Disability (SCPwD),Skill Council for Persons with Disability,Customer Relationship Management,Associate – Customer Care (Voice and Non-Voice),General Qualification,IT-ITeS,"{""Theory"":""120"",""Practical"":""300"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""0""}",,
1303,Data Import Process for Analysis,NG-05-IT-02725-2024-V1-NASSCOM,This NOS is about the process of importing datasets or data frames.,IT-ITeS,Level 5,45 Hours,45 Hours,Version ,30 May 2024,30 May 2027,IT-ITeS Sector Skills Council NASSCOM (SSC NASSCOM),IT-ITeS Sector Skills Council NASSCOM,Artificial Intelligence and Big Data Analytics,After completing this program participants can upskill themselves and apply the knowledge in their application areas.,Future Skills Qualification,N.A.,"{""Theory"":""15"",""Practical"":""30"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""0""}",,
1304,Customer Care Executive-Voice (Divyangjan)-VI,QG-04-PWD-01704-2023-V1.1-SCPWD,"Individuals in this job receive and make telephone calls which are primarily scripted, basic and routine with the assistance of a computerised system. They answer inquiries, resolve problems, record complaints and/or receive feedback.",Persons with Disability,Level 4,870 Hours,870 Hours,Version ,17 Nov 2022,13 Sep 2025,Skill Council for Persons with Disability (SCPwD),Skill Council for Persons with Disability,Customer Relationship Management,Associate – Customer Care (Voice and Non-Voice),General Qualification,IT-ITeS,"{""Theory"":""180"",""Practical"":""630"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""0""}",,
1305,Air Cargo Customer Care Executive,QG-04-TW-02194-2024-V1-LSC,"The Air Cargo Customer Care Executive is responsible for performing functions related to cargo reservations, sales/marketing and customer relations for general and special cargo. S/ he is also tasked with the responsibility of handling business development and general cargo commercial related functions.","Transportation, Logistics & Warehousing",Level 4,390 Hours,390 Hours,Version ,15 Mar 2024,15 Mar 2027,Logistics Sector Skill Council (LSC),LOGISTICS SECTOR SKILL COUNCIL,"Cargo Commercial, Customer Support/ Relations",Air Cargo Customer Care Supervisor,Cross Sectoral Qualification,N.A.,"{""Theory"":""90"",""Practical"":""210"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""30""}",,
1306,Information Security Policy Review,NG-05-IT-01411-2023-V1-NASSCOM,This NOS is about carrying out specified tasks as part of a team working to ensure information security policy review.,IT-ITeS,Level 5,60 Hours,60 Hours,Version ,30 Apr 2024,30 Apr 2027,IT-ITeS Sector Skills Council NASSCOM (SSC NASSCOM),IT-ITeS SSC NASSCOM,Cybersecurity,After completing this program participants can take up entry-level roles in cybersecurity,"Future Skills Qualification,National Occupational Standard",N.A.,"{""Theory"":""20"",""Practical"":""20"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""20""}",,
1307,Information Security Device Management,NG-05-IT-01412-2023-V1-NASSCOM,"This NOS is about installing/configuring information security devices and resolving any problems, following clearly laid down instructions and guidelines.",IT-ITeS,Level 5,60 Hours,60 Hours,Version ,30 Apr 2024,30 Apr 2027,IT-ITeS Sector Skills Council NASSCOM (SSC NASSCOM),IT-ITeS SSC NASSCOM,Cybersecurity,After completing this program participants can take up entry-level roles in cybersecurity,"Future Skills Qualification,National Occupational Standard",N.A.,"{""Theory"":""20"",""Practical"":""20"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""20""}",,
1308,Information Security Policy Audit,NG-05-IT-01413-2023-V1-NASSCOM,This qualification is related to assisting the performance of security audits in an organizational context.,IT-ITeS,Level 5,30 Hours,30 Hours,Version ,30 Apr 2024,30 Apr 2027,IT-ITeS Sector Skills Council NASSCOM (SSC NASSCOM),IT-ITeS SSC NASSCOM,Cybersecurity,"Senior Security Analyst, Senior Analyst- Application security, Consultant Network Security, Senior Analyst- Security Operations Centre, Senior Analyst- Compliance & Audit, Senior Cloud Security Analyst, etc.","Future Skills Qualification,National Occupational Standard",N.A.,"{""Theory"":""10"",""Practical"":""10"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""10""}",,
1309,Application Security Testing,NG-05-IT-01414-2023-V1-NASSCOM,"This qualification concerns evaluating an application for vulnerabilities using relevant automated tools and methods, such as penetration testing",IT-ITeS,Level 5,90 Hours,90 Hours,Version ,30 Apr 2024,30 Apr 2027,IT-ITeS Sector Skills Council NASSCOM (SSC NASSCOM),IT-ITeS SSC NASSCOM,Cybersecurity,"Analyst Application Security, Penetration Tester","Future Skills Qualification,National Occupational Standard",N.A.,"{""Theory"":""30"",""Practical"":""35"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""25""}",,
1310,Concepts of Natural Language Processing,NG-05-IT-01415-2023-V1-NASSCOM,Develop and implement NLP solutions and applications using machine learning and computational linguistic techniques.,IT-ITeS,Level 5,90 Hours,90 Hours,Version ,30 Apr 2024,30 Apr 2027,IT-ITeS Sector Skills Council NASSCOM (SSC NASSCOM),IT-ITeS SSC NASSCOM,Artificial Intelligence and Big Data Analytics,"AI- Solution Architect, AI- Data Architect","Future Skills Qualification,National Occupational Standard",N.A.,"{""Theory"":""30"",""Practical"":""30"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""30""}",,
1311,Concepts of Computer Vision,NG-05-IT-01416-2023-V1-NASSCOM,Develop and implement Computer Vision solutions and applications that leverage AI/ML to interpret and analyze visual information,IT-ITeS,Level 5,90 Hours,90 Hours,Version ,30 Apr 2024,30 Apr 2027,IT-ITeS Sector Skills Council NASSCOM (SSC NASSCOM),IT-ITeS SSC NASSCOM,Artificial Intelligence and Big Data Analytics,"AI- Solution Architect, AI- Data Architect","Future Skills Qualification,National Occupational Standard",N.A.,"{""Theory"":""30"",""Practical"":""30"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""30""}",,
1312,GST  Assistant,QG-04-BF-00135-2023-V1.1-BFSISSC,"The person appointed by any company, is responsible for maintaining records of accounts for the purpose of making preparing periodic reports around GST from time to time. Individual is authorized to perform functions relating to filling returns by the applicable due dates.",BFSI,Level 4,480 Hours,480 Hours,Version ,30 Jun 2022,30 Jun 2025,Banking financial services and insurance sector skill council (BFSISSC),BFSI Sector Skill Council of India,FINANCE & ACCOUNTS,Assistant Manager - Taxation > Deputy Manager - Finance / Accounts > Manager - Finance,General Qualification,N.A.,"{""Theory"":""126"",""Practical"":""144"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",,
1313,Customer Care Executive-Voice (Divyangjan)-LV,QG-04-PWD-01703-2023-V1.1-SCPWD.,"Individuals in this job receive and make telephone calls which are primarily scripted, basic and routine with the assistance of a computerised system. They answer inquiries, resolve problems, record complaints and/or receive feedback.",Persons with Disability,Level 4,840 Hours,840 Hours,Version ,17 Nov 2022,13 Sep 2025,Skill Council for Persons with Disability (SCPwD),Skill Council for Persons with Disability,Customer Relationship Management,Associate – Customer Care (Voice and Non-Voice),General Qualification,IT-ITeS,"{""Theory"":""177"",""Practical"":""603"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""0""}",,
1314,Bangle Maker,QG-03-HC-02618-2024-V1-HCSSC,"A skilled bangle maker specializes in crafting a diverse range of bangles, including wood bangles, conch shell bangles, glass bangles, lac bangles, and metal bangles. Using traditional techniques and a variety of materials, the bangle maker demonstrates expertise in shaping, designing, and finishing each type of bangle to create unique and intricately crafted pieces.",Handicrafts & Carpets,Level 3,1230 Hours,390 Hours,Version ,30 May 2024,30 May 2027,Handicrafts and Carpet Sector Skill Council (HCSSC),Handicrafts and Carpet Sector Skill Council-HCSSC Tel number(s): 011-26139834 E-mail address: ceo@hcssc.in,Fashion Jewellery- Design and Production,Vertical Progression -Product Maker (Fashion Jewellery)(Level 3.5),General Qualification,N.A.,"{""Theory"":""150"",""Practical"":""210"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""00""}",,
1315,Checker- Inline & Measurement (Divyangjan)-LD,QG-04-PD-02205-2024-V1-SCPWD,"A checker is an important job-role associated with Apparel sector The primary responsibility of a checker is to identify the faults in the fabrics, cut components, garment parts or finished products through visual inspection. As Checker, the individual inspects the accuracy of the dimensions of the stiched parts and the f inished apparel. The primary responsibility of a checker is to measure all the dimension of the apparel and ensure they are free from defects",Persons with Disability,Level 4,480 Hours,480 Hours,Version ,15 Mar 2024,31 Dec 2025,Skill Council for Persons with Disability (SCPwD),Skill Council for Persons with Disability,Quality Assurance,QC Executive - Sewing Line,General Qualification,Apparels,"{""Theory"":""125"",""Practical"":""295"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""0""}",,
1316,Checker- Inline & Measurement (Divyangjan)-SHI,QG-04-PD-02206-2024-V1-SCPWD,"A checker is an important job-role associated with Apparel sector. The primary responsibility of a checker is to identify the faults in the fabrics, cut components, garment parts or finished products through visual inspection. As Checker, the individual inspects the accuracy of the dimensions of the stitched parts and the finished apparel. The primary responsibility of a checker is to measure all the dimension of the apparel and ensure they are free from defects.",Persons with Disability,Level 4,570 Hours,570 Hours,Version ,15 Mar 2024,31 Dec 2025,Skill Council for Persons with Disability (SCPwD),Skill Council for Persons with Disability,Quality Assurance,QC Executive - Sewing Line,General Qualification,Apparels,"{""Theory"":""185"",""Practical"":""325"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""0""}",,
1317,Adventure Travel Guide (High Altitude),QG-4.5-TH-02446-2024-V2-THSC,"A high altitude trekking guide is usually a local who is well acquainted with the flora, fauna, culture and natural history of a particular area or region especially at high altitudes, (4,000 mts and above) trained in advanced mountaineering and wilderness first aid. The guide is responsible for route finding, navigation, leading small groups in the mountains and assisting the expedition leader in carrying out the trekking or mountaineering expedition. A high altitude trekking guide is also responsible for coordination with local logistics, transportation, porters, pony men, etc., in consultation with the trip/expedition leader.",Tourism & Hospitality,Level 4.5,420 Hours,420 Hours,Version ,30 Apr 2024,30 Apr 2027,Tourism and Hospitality Skill Council (THSC),Tourism and Hospitality sector skill council,Mountain based Activities,Mountaineering Instructor,General Qualification,N.A.,"{""Theory"":""60"",""Practical"":""120"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""180""}",,
1318,Cold Rolling Mill - Process Control Engineer,QG-06-IS-02478-2024-V1-IISSSC,The individual in this role performs cold rolling mill operations and its associated functions,Iron & Steel,Level 6,600 Hours,570 Hours,Version ,30 Apr 2024,30 Apr 2027,Indian Iron and Steel Sector Skill Council (IISSSC),"Indian Iron and Steel Sector Skill Council (IISSSC) 
Karigari Bhawan, 5th Floor, Room No-509, Plot No-B/7, Action Area-III, New Town, Rajarhat, Kolkata-700160.",Rolling Mill,Process Control Manager (To be developed),"Apprenticeship Qualification,General Qualification",N.A.,"{""Theory"":""120"",""Practical"":""210"",""EmployabilitySkills"":""90"",""OJT_Mandatory"":""180""}",,
1319,Continuous Casting - Process Control Engineer,QG-06-IS-02477-2024-V1-IISSSC,The individual in this role coordinate and monitor the continuous casting operation and its associated functions.,Iron & Steel,Level 6,600 Hours,570 Hours,Version ,30 Apr 2024,30 Apr 2027,Indian Iron and Steel Sector Skill Council (IISSSC),"Indian Iron and Steel Sector Skill Council, Karigari Bhawan, 5th Floor, Room No-509, Plot No-B/7, 
Action Area-III, New Town, Rajarhat, Kolkata-700160",Steel Making,Process Control Manager (To be developed),"Apprenticeship Qualification,General Qualification",N.A.,"{""Theory"":""120"",""Practical"":""210"",""EmployabilitySkills"":""90"",""OJT_Mandatory"":""180""}",,
1320,Hot Rolling Mill (Long Products) – Process Control Engineer,QG-06-IS-02479-2024-V1-IISSSC,The individual in this role performs hot rolling mill operations and its associated functions.,Iron & Steel,Level 6,600 Hours,600 Hours,Version ,30 Apr 2024,30 Apr 2027,Indian Iron and Steel Sector Skill Council (IISSSC),"Indian Iron and Steel Sector Skill Council, Karigari Bhawan, 5th Floor, Room No-509, Plot No-B/7, 
Action Area-III, New Town, Rajarhat, Kolkata-700160",Rolling Mills,Process Control Manager (To be developed),"Apprenticeship Qualification,General Qualification",N.A.,"{""Theory"":""120"",""Practical"":""210"",""EmployabilitySkills"":""90"",""OJT_Mandatory"":""180""}",,
1321,Ladle Refining Furnace - Process Control Engineer,QG-06-IS-02480-2024-V1-IISSSC,The individual in this role coordinate and monitor the Ladle Refining Furnace operation and its associated functions.,Iron & Steel,Level 6,600 Hours,600 Hours,Version ,30 Apr 2024,30 Apr 2027,Indian Iron and Steel Sector Skill Council (IISSSC),"Indian Iron and Steel Sector Skill Council || Plot no.B-7, Action Area-III, 5th Floor, Room no.509, Near Hazra Kalibari, Opposite Uni World City, New Town, Kolkata, West Bengal",Steel Making,Process Control Manager (To be developed),"Apprenticeship Qualification,General Qualification",N.A.,"{""Theory"":""120"",""Practical"":""210"",""EmployabilitySkills"":""90"",""OJT_Mandatory"":""180""}",,
1322,Pellet Plant - Process Control Engineer,QG-06-IS-02481-2024-V1-IISSSC,The individual in this role coordinate and monitor the operation of pellet plant and its associated functions.,Iron & Steel,Level 6,600 Hours,570 Hours,Version ,30 Apr 2024,30 Apr 2027,Indian Iron and Steel Sector Skill Council (IISSSC),"Indian Iron and Steel Sector Skill Council || Plot no.B-7, Action Area-III, 5th Floor, Room no.509, Near
 Hazra Kalibari, Opposite Uni World City, New Town, Kolkata, West Bengal",Steel Making,Process Control Manager (To be developed),"Apprenticeship Qualification,General Qualification",N.A.,"{""Theory"":""120"",""Practical"":""210"",""EmployabilitySkills"":""90"",""OJT_Mandatory"":""180""}",,
1323,Paragliding Tandem Pilot,QG-4.5-TH-02445-2024-V2-THSC,A paragliding tandem pilot is responsible for taking one student/client at a time on an assisted paragliding ﬂight in a controlled and evaluated environment. They plan and prepare for the flight and are responsible for ﬂying along with the student/client while ensuring their safety.,Tourism & Hospitality,Level 4.5,630 Hours,630 Hours,Version ,30 Apr 2024,30 Apr 2027,Tourism and Hospitality Skill Council (THSC),Tourism and Hospitality Sector Skill Council,Air based Activities,HAP,General Qualification,N.A.,"{""Theory"":""90"",""Practical"":""180"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""300""}",,
1324,Parasailing (Equipment) Driver,QG-03-TH-02438-2024-V2-THSC,A parasailing (equipment) driver is an experienced vehicle or boat driver who is responsible for towing parasailing students/clients to a certain height and bringing them down safely. The parasailing (equipment) driver works in close coordination with the parasailing supervisor who visually supervises the parasailing activity.,Tourism & Hospitality,Level 3,360 Hours,360 Hours,Version ,30 Apr 2024,30 Apr 2027,Tourism and Hospitality Skill Council (THSC),Tourism and Hospitality Sector Skill Council,Water Based Activities,Parasailing Supervisor,General Qualification,N.A.,"{""Theory"":""90"",""Practical"":""180"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""60""}",,
1325,Parasailing (Equipment) Supervisor,QG-05-TH-02450-2024-V2-THSC,"A Parasailing (Equipment) Supervisor is responsible teaching as well as for safely conducting a parasailing activity for students/clients by monitoring the sources of danger at land/deck, sea and air during every ﬂight. The supervisor works in close coordination with the driver, launcher and receiver. In addition, a Parasailing (Equipment) Supervisor is also responsible for training the staff.",Tourism & Hospitality,Level 5,630 Hours,630 Hours,Version ,30 Apr 2024,30 Apr 2027,Tourism and Hospitality Skill Council (THSC),Tourism and Hospitality Sector Skill Council,Water Based Activities,This is the Highest position in Parasailing,General Qualification,N.A.,"{""Theory"":""100"",""Practical"":""200"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""270""}",,
1326,Retail Store Ops Assistant_ PwD LD,QG-03-PWD-01641-2023-V1.1-SCPWD,"Individuals in this position receive, move, store and deliver products whilst working cordially within the team and retail organisation.",Persons with Disability,Level 2,330 Hours,330 Hours,Version ,28 Apr 2022,25 Nov 2025,Skill Council for Persons with Disability (SCPwD),Skill Council for Persons with Disability,Store Operations,Retail Cashier,General Qualification,Retail,"{""Theory"":""115"",""Practical"":""185"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""0""}",,
1327,Reheating Furnace - Process Control Engineer,QG-06-IS-02482-2024-V1-IISSSC,The individual in this role performs reheating furnace (RHF) operations and its associated functions.,Iron & Steel,Level 6,600 Hours,570 Hours,Version ,30 Apr 2024,30 Apr 2027,Indian Iron and Steel Sector Skill Council (IISSSC),"Indian Iron and Steel Sector Skill Council || Plot no.B-7, Action Area-III, 5th Floor, Room no.509, Near Hazra Kalibari, Opposite Uni World City, New Town, Kolkata, West Bengal",Rolling Mill,Process Control Manager (To be developed),"Apprenticeship Qualification,General Qualification",N.A.,"{""Theory"":""120"",""Practical"":""210"",""EmployabilitySkills"":""90"",""OJT_Mandatory"":""180""}",,
1328,Retail Store Ops Assistant_ PwD SHI,QG-03-PWD-01642-2023-V1.1-SCPWD,"Individuals in this position service internal and external customers with respect to receiving, 
moving, storage and delivery of products whilst working cordially within the team and retail 
organization.",Persons with Disability,Level 2,460 Hours,460 Hours,Version ,28 Apr 2022,25 Nov 2025,Skill Council for Persons with Disability (SCPwD),Skill Council for Persons with Disability,Store Operations,Retail Cashier,General Qualification,Retail,"{""Theory"":""175"",""Practical"":""215"",""EmployabilitySkills"":""70"",""OJT_Mandatory"":""0""}",,
1329,Stainless Steel Making - Process Control Engineer,QG-06-IS-02483-2024-V1-IISSSC,The individual in this role coordinate and perform stainless steel making process and its associated functions.,Iron & Steel,Level 6,600 Hours,570 Hours,Version ,30 Apr 2024,30 Apr 2027,Indian Iron and Steel Sector Skill Council (IISSSC),"Indian Iron and Steel Sector Skill Council || Plot no.B-7, Action Area-III, 5th Floor, Room no.509, Near Hazra Kalibari, Opposite Uni World City, New Town, Kolkata, West Bengal",Steel Making,Process Control Manager (To be developed),"Apprenticeship Qualification,General Qualification",N.A.,"{""Theory"":""120"",""Practical"":""210"",""EmployabilitySkills"":""90"",""OJT_Mandatory"":""180""}",,
1330,Metal Forging Technician,QG-04-IS-02484-2024-V1-IISSSC,The individual in this role responsible for performing forging operation and making the components as per the forging drawing.,Iron & Steel,Level 4,480 Hours,450 Hours,Version ,30 Apr 2024,30 Apr 2027,Indian Iron and Steel Sector Skill Council (IISSSC),"Indian Iron and Steel Sector Skill Council || Plot no.B-7, Action Area-III, 5th Floor, Room no.509, Near Hazra Kalibari, Opposite Uni World City, New Town, Kolkata, West Bengal",Forging,Sr. Technician Metal Forging (To be developed),"Apprenticeship Qualification,General Qualification",N.A.,"{""Theory"":""95"",""Practical"":""205"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""120""}",,
1331,Customer Care Executive-Non- Voice (Divyangjan)-LD,QG-04-PWD-01705-2023-V1.1-SCPWD,Individuals at this job are responsible for resolving queries and customer cases over web-chat or email. They form the primary layer of contact with the customer and responses may be made on either preexisting email templates or customized mails to the query requirement.,Persons with Disability,Level 4,480 Hours,480 Hours,Version ,17 Nov 2022,13 Sep 2025,Skill Council for Persons with Disability (SCPwD),Skill Council for Persons with Disability,Customer Relationship Management,Associate – Customer Care (Non-Voice),General Qualification,IT-ITeS,"{""Theory"":""120"",""Practical"":""300"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""0""}",,
1332,Cold Chain Implementation Specialist,QG-5.5-TW-02191-2024-V1-LSC,"The individual at work performs market and product demand-supply assessment for cold storage, prepares project execution and cost plan, designs plant layout, manages project execution of cold storage, select vendors and maintains relationship that is strategic to business and commissions the cold storage.","Transportation, Logistics & Warehousing",Level 5.5,510 Hours,510 Hours,Version ,15 Mar 2024,15 Mar 2027,Logistics Sector Skill Council (LSC),Logistics sector skill council,Projects,Cold Chain Specialist (Green Engineering),Future Skills Qualification,N.A.,"{""Theory"":""140"",""Practical"":""250"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""60""}",,
