state,centre_name,address,email,phone,courses_offered,pincode,district,subdistrict,mappls_eloc,geocode_level
andhra pradesh,CKM Govt Junior College,Near MIMS Campus Nellimarla,ckmskillhub.nellimarla@gmail.com,9441027889,CUSTOMER CARE EXECUTIVE-DOMESTIC- NON- VOICE | DOMESTIC IT HELPDESK ATTENDANT | DOMESTIC IT HELPDESK ATTENDANT | DOMESTIC IT HELPDESK ATTENDANT | DOMESTIC IT HELPDESK ATTENDANT | CUSTOMER CARE EXECUTIVE-DOMESTIC- NON- VOICE | CUSTOMER CARE EXECUTIVE-DOMESTIC- NON- VOICE | CUSTOMER CARE EXECUTIVE-DOMESTIC- NON- VOICE,535217,Vizianagaram District,Nellimarla,P6ZJD1,landmark
andhra pradesh,Cprr Private Iti,kandulapuram,cprriti@gmail.com,6304357179,ELECTRICIAN (NSQF),523333,Markapuram District,Cumbum,FOH99T,poi
andhra pradesh,Datapro PMKK Palkonda,Dno-14-238 m m nagar Palakonda Srikakulam-532440,browni007.7@gmail.com,+91 6304099423,SOLAR PANEL INSTALLATION TECHNICIAN,532440,Parvathipuram Manyam District,Palakonda,PZ487F,locality
andhra pradesh,Datapro PMKK Rajhamundary,pmkkrjhy.datapro@gmail.com,,+91 9154165890,FIELD TECHNICIAN  OTHER HOME APPLIANCES | CCTV INSTALLATION TECHNICIAN | SOLAR PANEL INSTALLATION TECHNICIAN | MOBILE PHONE HARDWARE REPAIR TECHNICIAN | COVID FRONTLINE WORKER (SAMPLE COLLECTION SUPPORT) | COURIER DELIVERY EXECUTIVE | CUSTOMER CARE EXECUTIVE-DOMESTIC- NON- VOICE,517520,Tirupati District,Renigunta,5L513N,poi
andhra pradesh,"Dharani Industrial Training Centre, Besthavaripeta","Sri Saibaba Temple Road,Bestavaripeta,Prakasam Dt",rayudu1777@yahoo.com,9948288293,FITTER (NSQF) | ELECTRICIAN (NSQF) | DRAUGHTSMAN (CIVIL) (NSQF),523263,Prakasam District,Maddipadu,PSZXTZ,poi
andhra pradesh,Dharmatheja Industrial Training Centre,"D.No.- 4/656, R.T.C. Colony By Pass Road",yemisetty.srihari@gmail.com,9959216159,ELECTRICIAN (NSQF) | MECHANIC DIESEL (NSQF),520012,NTR District,Vijayawada Urban,VY5LTF,subLocality
andhra pradesh,Diviseema Industrial Training Centre,CHALLAPALLY,diviseemaiti@rediffmail.com,9885252568,MECHANIC DIESEL (NSQF) | ELECTRICIAN (NSQF) | WELDER (NSQF) | FITTER (NSQF),521126,Krishna District,Challapalle,I7Z39G,state
andhra pradesh,Dk Government Degree college for women( A),Dk Government Degree college for women (A),nellore.jkc@gmail.com,9948121701,CUSTOMER CARE EXECUTIVE-DOMESTIC- NON- VOICE | TRAINEE - BEAUTICIAN | SEWING MACHINE OPERATOR | SEWING MACHINE OPERATOR | CUSTOMER CARE EXECUTIVE-DOMESTIC- NON- VOICE | CUSTOMER CARE EXECUTIVE-DOMESTIC- NON- VOICE | CUSTOMER CARE EXECUTIVE-DOMESTIC- NON- VOICE | SEWING MACHINE OPERATOR | SEWING MACHINE OPERATOR,524003,Sri Potti Sriramulu Nellore District,Nellore Urban,CER2UV,poi
andhra pradesh,DMSVK (Mahila Pranganam) Santhanuthalapadu(Sc),NTR Center for skill development and empowerment of women( Mahila Pranganam) yendluru Donka,dmsvkongole@gmail.com,8333921346,SEWING MACHINE OPERATOR | TRAINEE - BEAUTICIAN | ASSOCIATE DATA ENTRY OPERATOR | SEWING MACHINE OPERATOR | SEWING MACHINE OPERATOR | SEWING MACHINE OPERATOR,523225,Prakasam District,Santhanuthala Padu,UISGO8,city
andhra pradesh,"Don Bosco Industrial Training Centre,Guntur","Ring Road , GUNTUR",donboscoguntur@yahoo.co.in,9491654275,ELECTRICIAN (NSQF) | MECHANIC (MOTOR VEHICLE) (NSQF) | CARPENTER (NSQF) | ELECTRONICS MECHANIC (NSQF) | FITTER (NSQF),522509,Guntur District,Pedakakani,QSPTE7,district
andhra pradesh,Don Bosco Industrial Training Institute,Station Road,donboscoitikadapa@gmail.com,9885846885,FITTER (NSQF) | DRAUGHTSMAN (CIVIL) (NSQF) | MACHINIST (NSQF) | ELECTRICIAN (NSQF) | TURNER (NSQF) | WELDER (NSQF),516001,YSR Kadapa District,Kadapa,F8SDC7,poi
andhra pradesh,DON BOSCO PRIVATE ITI,"D/no 1-274(14), Post Box No - 61, Near Srinivasa",chinnamariadas@gmail.com,9490633542,DRAUGHTSMAN (CIVIL) (NSQF) | FITTER (NSQF) | ELECTRICIAN (NSQF) | SEWING TECHNOLOGY (NSQF),533240,Dr BR Ambedkar Konaseema District,P Gannavaram,9NHYNH,poi
andhra pradesh,Dr LHR Government Degree College,NH-221 Vijayawada Mylavaram road Mylavaram,airvilla87@gmail.com,9440630271,DEBT RECOVERY AGENT | TRAINEE - BEAUTICIAN | ASSOCIATE DATA ENTRY OPERATOR | DEBT RECOVERY AGENT | DEBT RECOVERY AGENT | DEBT RECOVERY AGENT,521230,NTR District,Mylavaram,4AOVTF,street
andhra pradesh,Dr Tamma Anand Memorial Industrial Training Centre,Pamarru,tamitc@rediffmail.com,9848237555,FITTER (NSQF) | ELECTRICIAN (NSQF),522324,Bapatla District,Kollur,BKLV9Y,state
andhra pradesh,Dr V Kranthis Govt ITI,Palasa,drvkanithisgovtiti@gmail.com,8519888845,COMPUTER OPERATOR AND PROGRAMMING ASSISTANT (NSQF) | MECHANIC DIESEL (NSQF) | ELECTRONICS MECHANIC (NSQF) | FITTER (NSQF) | DRAUGHTSMAN (CIVIL) (NSQF) | WELDER (NSQF) | ELECTRICIAN (NSQF),532222,Srikakulam District,Palasa,3U7KE0,subDistrict
andhra pradesh,Dr. Ambedkar Memorial I.T.C Butchanna Konerru Road,D.No 4-9-25 Butchanna Koneru Road,kolee.educhar@gmail.com,9492855680,FITTER (NSQF) | ELECTRICIAN (NSQF),520010,NTR District,Vijayawada Urban,6XKOOG,state
andhra pradesh,Dr. B S R Industrial Training Institute,Atmakur,bsritc@gmail.com,9948787955,FITTER (NSQF) | MECHANIC DIESEL (NSQF) | ELECTRICIAN (NSQF),516002,YSR Kadapa District,Kadapa,8YJQ0U,state
andhra pradesh,Dr. SAMUEL GEORGE Pvt. INDUSTRIAL TRAINING INSTITUTE,"GEORGE TOWN, DARIMADUGU VILLAGE, IDUPUR PANCHAYAT,",drsgiti@gmail.com,9618145288,PLUMBER (NSQF) | ELECTRICIAN (NSQF) | DRAUGHTSMAN (CIVIL) (NSQF) | FITTER (NSQF),530007,Visakhapatnam District,Goapalapatnam,TX3Q2R,poi
andhra pradesh,Dr. Y C James Yen Government Polytechnic Kuppam,near model colony Yanadipalle Kuppam Chittoor Andhra Pradesh 517425,rp.kuppam101@gmail.com,9912342101,TRAINEE - BEAUTICIAN | ASSOCIATE DATA ENTRY OPERATOR,517425,Chittoor District,Kuppam,22B8AB,village
andhra pradesh,Dr.V Kanithis Govt ITI PALASA,Palasa,drvkanithisgovtiti@gmail.com,9440344958,ELECTRICIAN - DOMESTIC SOLUTIONS | ELECTRICIAN - DOMESTIC SOLUTIONS | ELECTRICIAN - DOMESTIC SOLUTIONS | FITTER - FABRICATION | ASSOCIATE  ELECTRICIAN | FITTER - FABRICATION | ASSOCIATE  ELECTRICIAN | ASSOCIATE BAR BENDER AND STEEL FIXER | AUTOMOTIVE ASSEMBLER | ELECTRICIAN - DOMESTIC SOLUTIONS,532222,Srikakulam District,Palasa,3U7KE0,subDistrict
andhra pradesh,DRS Private ITI,Kaluvoya Village & Mandal,drsitc2012@gmail.com,7780381367,FITTER (NSQF) | DRAUGHTSMAN (CIVIL) (NSQF) | ELECTRICIAN (NSQF),533240,Dr BR Ambedkar Konaseema District,P Gannavaram,9NHYNH,poi
andhra pradesh,"G D Naidu Industrial Training Institute, Kavali","Musunuru,Bit-2,Kavali.",gdnaiduitc@gmail.com,9000919753,ELECTRICIAN (NSQF) | MECHANIC (MOTOR VEHICLE) (NSQF) | FITTER (NSQF),524201,Sri Potti Sriramulu Nellore District,Kavali,Y20FI7,subDistrict
andhra pradesh,G. C. Rangareddy Memorial Industrial Training Centre,"D. No. 5/208, Tadipatri Road Maddanur",subbarao.tati@gmail.com,9963329221,FITTER (NSQF) | MECHANIC DIESEL (NSQF) | ELECTRICIAN (NSQF),515411,Ananthapuramu District,Tadpatri,9UDAMI,city
andhra pradesh,Gayathri Industrial Training Centre,"Near Chaityana College, Womens College Road",gayatripvtiti@gmail.com,9440828366,FITTER (NSQF) | ELECTRICIAN (NSQF) | ELECTRONICS MECHANIC (NSQF),532001,Srikakulam District,Srikakulam,G2GJ4R,street
andhra pradesh,"Gayatri Pvt. Industial Training Institute, Adoni",Adoni,gayatri.itc.adoni1@gmail.com,9985022128,ELECTRICIAN (NSQF),518301,Kurnool District,Adoni,PS40KC,subDistrict
andhra pradesh,GDC Kovvur,Government Degree College Near Kovvuramma thalli temple Kovvur,gdckovvur@gmail.com,7013018683,ASSOCIATE DATA ENTRY OPERATOR,534350,East Godavari District,Kovvur,36S3MH,poi
andhra pradesh,GDC Rampachodavaram,Govt Degree college Rampachodavaram near govt hospital Rampachodavaram to devi patnam road,kugarthivenkatesh@gmail.com,6303461645,HEALTHCARE HYGIENE AND HOUSEKEEPING AIDE | TRAINEE - BEAUTICIAN,533288,Polavaram District,Rampachodavaram,T39B0T,subDistrict
andhra pradesh,GMR Polytechnic Paderu,Thalarasingi Village Paderu,hmespdr043@gmail.com,9440892031,ASSOCIATE DATA ENTRY OPERATOR | TWO WHEELER SERVICE TECHNICIAN | TWO WHEELER SERVICE TECHNICIAN | TWO WHEELER SERVICE TECHNICIAN | TWO WHEELER SERVICE TECHNICIAN,531024,Alluri Sitharama Raju District,Paderu,QT8848,poi
andhra pradesh,GMRPOLYTECHNIC534,Nera RITI Bhadragiri Gumma Lakshmipuram,gmrpolytechnic534@gmail.com,9989401249,HEALTHCARE HYGIENE AND HOUSEKEEPING AIDE | SEWING MACHINE OPERATOR | SEWING MACHINE OPERATOR | SEWING MACHINE OPERATOR | SEWING MACHINE OPERATOR | RECEPTIONIST | RECEPTIONIST | RECEPTIONIST | RECEPTIONIST | ASSOCIATE DATA ENTRY OPERATOR,535523,Parvathipuram Manyam District,Gummalakshmipuram,06ORSE,village
andhra pradesh,GOVERMENT I.T.I FOR MINORITIES KADAPA,GOVT. ITI FOR MINORITIES OPP: R.I.M.S BESIDE HYDERABAD PUBLIC SCHOOL PUTTALAMPALLI KADAPA,iti.minority1997@gmail.com,9440107075,ASSOCIATE  ELECTRICIAN | ELECTRICIAN - DOMESTIC SOLUTIONS | ELECTRICIAN - DOMESTIC SOLUTIONS | ELECTRICIAN - DOMESTIC SOLUTIONS | ELECTRICIAN - DOMESTIC SOLUTIONS | TWO WHEELER SERVICE ASSISTANT | TWO WHEELER SERVICE ASSISTANT | TWO WHEELER SERVICE ASSISTANT | TWO WHEELER SERVICE ASSISTANT,516003,YSR Kadapa District,Kadapa,D7TC3D,subDistrict
andhra pradesh,Government Degree College,Pata Tiruvuru Tiruvuru,msuseelarao@gmail.com,9491716380,PACKING SPECIALIST | ASSOCIATE DATA ENTRY OPERATOR,521235,NTR District,Tiruvuru,FD266B,village
andhra pradesh,Government Degree College,Near Ambedkar Circle Opposite Ramdas Hotel New peta Pattikonda,mdosmanknl@gmail.com,8328349628,IT SALES TELE CALLER- VOICE & NON- VOICE | ASSOCIATE DATA ENTRY OPERATOR,518380,Kurnool District,Pattikonda,XCB499,poi
andhra pradesh,Government Degree College (A) Tuni,V Kotturu Tuni Rural Near Tuni Rural Police Station l Beside National Highway Tuni,jkcrjyec.tuni@gmail.com,9866594053,ASSOCIATE DATA ENTRY OPERATOR | OFFICE ASSISTANT | OFFICE ASSISTANT | OFFICE ASSISTANT | OFFICE ASSISTANT,533401,Kakinada District,Tuni,C6DB14,landmark
andhra pradesh,GOVERNMENT DEGREE COLLEGE AVANIGADDA,H.NO-1-131 Near Anjaneyaswamy Temple Avanigadda,mvr.mutyala@gmail.com,9701851379,AQUACULTURE WORKER | TRAINEE - COSMETOLOGY | ASSOCIATE DATA ENTRY OPERATOR | AQUACULTURE WORKER | AQUACULTURE WORKER | AQUACULTURE WORKER,521121,Krishna District,Avanigadda,C16D5E,village
andhra pradesh,Government Degree College Chebrole,Government Degree College Chebrolu Guntur District Andhra Pradesh Pin 522212,jkc.chebrole@gmail.com,9440961086,ASSOCIATE DATA ENTRY OPERATOR,522212,Guntur District,Chebrolu,F18S4C,poi
andhra pradesh,Government Degree College Mydukur,Telugu Ganga Colony Porumamill Road Mydukur YSR District Andhra Pradesh-516172,radharamsai66@gmail.com,9440074655,IT SALES TELE CALLER- VOICE & NON- VOICE | ASSOCIATE DATA ENTRY OPERATOR | ASSOCIATE DATA ENTRY OPERATOR,516172,YSR Kadapa District,S Mydukur,8ZF7W8,poi
andhra pradesh,Government Degree College Nandikotkur,Government Degree College Nandikotkur Nandyal Road Nandikotkur Nandyal Dist,ndkgdc.jkc@gmail.com,7893339665,ASSISTANT TECHNICIAN- COMPUTER HARDWARE | ASSOCIATE DATA ENTRY OPERATOR,518401,Nandyal District,Nandikotkur,D341AT,village
andhra pradesh,Government Degree College Narasannapeta,College road Narasannapeta,shanmurari@gmail.com,9515879885,ASSOCIATE DATA ENTRY OPERATOR | ASSOCIATE DATA ENTRY OPERATOR | FRONT OFFICE ASSISTANT,532421,Srikakulam District,Narasannapeta,HJM3KS,street
andhra pradesh,Government Degree College Pathapatnam,All andhra road near indiramma colony pathapatnam,pathapatnam.jkc@gmail.com,8074562342,DEBT RECOVERY AGENT | DEBT RECOVERY AGENT | DEBT RECOVERY AGENT | DEBT RECOVERY AGENT | ASSOCIATE DESKTOP PUBLISHING,532213,Srikakulam District,Pathapatnam,P2A7XH,poi
andhra pradesh,Government Degree College Porumamilla,Badvel Road Porumamilla YSR District Andhra Pradesh-516193,dandayhari1@gmail.com,9949335335,IT SALES TELE CALLER- VOICE & NON- VOICE | ASSOCIATE DATA ENTRY OPERATOR,516193,YSR Kadapa District,Porumamilla,JMF29H,poi
andhra pradesh,GOVERNMENT DEGREE COLLEGE RAZOLE,\GOVERNMENT DEGREE COLLEGE RAZOLE \nMAIN ROAD NEAR NH216 \nRAZOLE MANDAL EAST GODAVARI DISTRICT,jkcrjyec.razole@gmail.com,9848486982,MEDICAL EQUIPMENT ASSISTANT (BASIC CLINICAL EQUIPMENT) | MEDICAL EQUIPMENT ASSISTANT (BASIC CLINICAL EQUIPMENT) | MEDICAL EQUIPMENT ASSISTANT (BASIC CLINICAL EQUIPMENT) | ASSOCIATE DATA ENTRY OPERATOR | MEDICAL EQUIPMENT ASSISTANT (BASIC CLINICAL EQUIPMENT),533124,East Godavari District,Rajamahendravaram Rural,05KIBE,village
andhra pradesh,Government Degree College Salur,Srinivasa Colony Main Road Salur,skillhub.gdcsalur@gmail.com,9440315794,CREDIT PROCESSING OFFICER | ASSOCIATE DATA ENTRY OPERATOR | ASSOCIATE DATA ENTRY OPERATOR | CREDIT PROCESSING OFFICER | CREDIT PROCESSING OFFICER | CREDIT PROCESSING OFFICER | CREDIT PROCESSING OFFICER | CREDIT PROCESSING OFFICER | CREDIT PROCESSING OFFICER | CREDIT PROCESSING OFFICER,535591,Parvathipuram Manyam District,Salur,JD8UXV,poi
andhra pradesh,GOVERNMENT DEGREE COLLEGE SRUNGSVSRSPUKOTA,o/o Principal Government Degree College Punyagiri Village Vizianagaram District Andhra pradhesh,gerannasku@gmail.com,9000234642,ASSOCIATE DATA ENTRY OPERATOR | ASSOCIATE DATA ENTRY OPERATOR | JUNIOR SOFTWARE DEVELOPER | JUNIOR SOFTWARE DEVELOPER | JUNIOR SOFTWARE DEVELOPER | JUNIOR SOFTWARE DEVELOPER,535002,Vizianagaram District,Vizianagaram Urban,O4Z1VU,district
